route_id,hour,day_type,is_holiday,weather,crowd_level
R3,16,Weekday,1,Rain,Low
R7,1,Weekday,0,Rain,Medium
R2,11,Weekday,0,Clear,Low
R14,8,Weekend,1,Clear,Low
R20,15,Weekend,0,Clear,Low
R3,4,Weekend,1,Clear,Low
R17,20,Weekday,0,Rain,High
R4,20,Weekday,1,Rain,High
R15,14,Weekend,1,Clear,Low
R9,5,Weekend,0,Clear,Low
R13,23,Weekend,0,Clear,Low
R1,19,Weekend,0,Rain,Medium
R12,13,Weekday,1,Clear,Low
R13,16,Weekend,1,Rain,Low
R17,18,Weekday,0,Clear,High
R17,7,Weekend,1,Clear,Low
R11,5,Weekday,0,Clear,Medium
R10,0,Weekend,1,Clear,Low
R9,14,Weekend,0,Clear,Low
R11,15,Weekday,1,Clear,Low
R9,14,Weekday,0,Clear,Low
R15,6,Weekend,0,Rain,Medium
R12,2,Weekday,1,Rain,Low
R4,2,Weekday,0,Rain,Medium
R14,23,Weekday,0,Rain,Low
R12,13,Weekend,0,Clear,Low
R19,15,Weekday,1,Clear,Low
R11,7,Weekday,0,Clear,Low
R2,18,Weekend,1,Rain,Low
R19,10,Weekend,1,Clear,Medium
R1,10,Weekend,0,Rain,High
R15,19,Weekday,0,Rain,High
R5,13,Weekend,1,Clear,Low
R17,15,Weekend,1,Clear,Low
R1,4,Weekday,1,Rain,Medium
R4,14,Weekday,0,Rain,High
R4,12,Weekday,0,Rain,Low
R13,23,Weekday,0,Rain,Medium
R7,18,Weekday,0,Rain,High
R14,21,Weekday,0,Rain,Low
R19,13,Weekday,0,Rain,High
R2,22,Weekend,0,Clear,Low
R3,5,Weekend,1,Rain,Low
R13,9,Weekend,0,Clear,Medium
R17,14,Weekday,1,Rain,Low
R15,1,Weekend,0,Rain,Medium
R8,21,Weekend,0,Rain,Low
R3,2,Weekday,1,Clear,Low
R10,23,Weekday,0,Rain,Low
R8,17,Weekend,1,Rain,Medium
R7,2,Weekend,0,Rain,Medium
R17,19,Weekday,1,Clear,High
R7,18,Weekend,0,Rain,Medium
R17,21,Weekend,1,Rain,Low
R7,1,Weekend,0,Rain,Low
R9,21,Weekday,1,Rain,Low
R4,17,Weekday,0,Rain,High
R12,3,Weekend,1,Rain,Low
R1,16,Weekday,1,Rain,Low
R9,20,Weekend,0,Rain,Medium
R7,6,Weekday,1,Clear,Low
R7,8,Weekday,1,Rain,High
R10,17,Weekday,0,Rain,High
R9,4,Weekday,0,Rain,Medium
R10,6,Weekday,1,Rain,Low
R15,20,Weekday,0,Clear,Medium
R11,13,Weekday,1,Rain,Medium
R14,13,Weekend,1,Rain,Low
R19,17,Weekday,0,Rain,High
R1,21,Weekend,0,Rain,Low
R13,16,Weekday,0,Rain,High
R2,1,Weekday,0,Clear,Medium
R14,8,Weekday,1,Rain,Medium
R13,1,Weekday,1,Rain,Low
R9,13,Weekday,1,Rain,Low
R9,13,Weekend,1,Rain,Low
R12,2,Weekday,0,Rain,Medium
R15,0,Weekday,0,Rain,Medium
R10,23,Weekend,1,Rain,Low
R5,17,Weekend,0,Rain,High
R20,16,Weekend,0,Rain,Low
R5,3,Weekday,0,Rain,Medium
R9,11,Weekday,0,Clear,Medium
R6,11,Weekend,0,Clear,Low
R1,12,Weekend,0,Clear,Low
R11,19,Weekday,1,Rain,Medium
R13,2,Weekend,0,Clear,Low
R12,23,Weekend,0,Rain,Low
R8,7,Weekend,0,Clear,Low
R8,20,Weekday,1,Rain,High
R6,0,Weekday,1,Clear,Low
R19,21,Weekday,1,Clear,Low
R7,23,Weekday,0,Rain,Medium
R5,12,Weekday,0,Rain,Medium
R11,14,Weekend,0,Rain,Low
R3,22,Weekend,0,Rain,Low
R5,13,Weekday,0,Rain,Medium
R9,17,Weekday,0,Rain,High
R18,21,Weekend,0,Rain,Low
R10,17,Weekday,0,Clear,Medium
R20,11,Weekday,1,Clear,Low
R15,15,Weekend,1,Rain,Low
R6,16,Weekend,1,Clear,Low
R7,8,Weekend,0,Clear,Medium
R19,21,Weekday,0,Clear,Medium
R4,10,Weekday,1,Rain,Medium
R7,21,Weekend,1,Clear,Low
R5,5,Weekday,0,Rain,Medium
R15,4,Weekday,0,Clear,Low
R3,1,Weekend,1,Rain,Low
R4,21,Weekday,0,Clear,Low
R15,12,Weekend,1,Clear,Low
R10,17,Weekend,1,Clear,Medium
R3,12,Weekday,1,Clear,Low
R13,15,Weekend,1,Clear,Low
R14,15,Weekend,0,Clear,Low
R1,16,Weekend,0,Rain,Low
R2,1,Weekday,0,Rain,Medium
R12,23,Weekend,1,Clear,Low
R5,23,Weekday,1,Clear,Low
R15,21,Weekend,0,Clear,Low
R11,0,Weekend,0,Clear,Low
R13,14,Weekday,0,Rain,Medium
R4,17,Weekend,1,Rain,Low
R3,17,Weekend,1,Clear,Medium
R8,20,Weekday,0,Rain,High
R3,20,Weekday,1,Clear,Low
R18,10,Weekday,1,Clear,Medium
R18,11,Weekend,0,Rain,Low
R2,3,Weekday,1,Rain,Low
R13,20,Weekend,0,Clear,Medium
R11,14,Weekday,0,Clear,Low
R12,19,Weekday,0,Rain,High
R12,22,Weekend,1,Rain,Low
R2,6,Weekday,0,Clear,Low
R10,12,Weekend,0,Rain,Medium
R16,21,Weekday,0,Clear,Low
R17,0,Weekday,0,Clear,Low
R3,3,Weekend,1,Rain,Low
R9,2,Weekend,0,Clear,Low
R14,19,Weekday,0,Rain,High
R17,2,Weekend,1,Rain,Low
R10,11,Weekday,1,Clear,Low
R9,19,Weekend,0,Clear,High
R4,15,Weekday,0,Clear,Low
R19,20,Weekend,1,Clear,Low
R4,19,Weekend,0,Clear,Medium
R13,21,Weekend,1,Rain,Low
R18,13,Weekend,1,Clear,Low
R19,4,Weekday,0,Clear,Low
R8,8,Weekday,0,Clear,High
R16,13,Weekday,0,Rain,High
R1,2,Weekday,1,Clear,Low
R17,12,Weekday,1,Rain,Medium
R13,7,Weekend,0,Rain,Low
R14,19,Weekday,0,Clear,High
R20,17,Weekend,1,Clear,Low
R11,15,Weekend,1,Clear,Low
R11,0,Weekday,1,Rain,Low
R20,12,Weekday,1,Clear,Low
R17,19,Weekend,1,Rain,Medium
R16,5,Weekend,0,Rain,Low
R6,9,Weekday,0,Rain,High
R13,14,Weekday,0,Rain,Medium
R7,23,Weekend,0,Clear,Low
R19,1,Weekday,0,Rain,Low
R19,23,Weekend,0,Rain,Low
R7,10,Weekend,1,Rain,Medium
R12,14,Weekday,0,Rain,Low
R18,14,Weekend,0,Rain,Medium
R10,14,Weekend,0,Rain,Low
R8,20,Weekday,0,Rain,High
R11,20,Weekend,0,Rain,High
R12,23,Weekday,1,Clear,Low
R6,20,Weekend,0,Clear,Medium
R15,4,Weekend,0,Clear,Low
R3,14,Weekday,0,Rain,Medium
R17,15,Weekday,1,Clear,Low
R18,19,Weekday,1,Clear,High
R5,8,Weekend,1,Clear,Low
R5,6,Weekday,1,Clear,Low
R4,12,Weekday,1,Clear,Low
R11,12,Weekday,1,Clear,Low
R1,22,Weekend,0,Clear,Low
R18,0,Weekend,1,Clear,Low
R14,14,Weekday,1,Clear,Low
R20,19,Weekend,1,Rain,Low
R4,3,Weekday,1,Rain,Low
R15,6,Weekday,0,Rain,Low
R6,22,Weekday,0,Clear,Low
R14,1,Weekday,0,Rain,High
R13,15,Weekend,0,Rain,Low
R13,16,Weekend,1,Clear,Low
R18,19,Weekday,1,Rain,High
R15,13,Weekend,1,Rain,Low
R12,6,Weekday,1,Rain,Medium
R4,11,Weekday,0,Rain,High
R7,15,Weekend,1,Rain,Low
R9,12,Weekend,1,Rain,Low
R4,3,Weekend,1,Clear,Low
R1,13,Weekend,1,Clear,Low
R3,17,Weekday,1,Clear,High
R12,19,Weekday,0,Clear,High
R18,6,Weekday,0,Clear,Low
R12,1,Weekend,1,Rain,Low
R12,7,Weekend,0,Rain,Low
R6,2,Weekend,0,Clear,Low
R17,13,Weekend,1,Rain,Low
R9,23,Weekday,0,Rain,Low
R6,0,Weekend,1,Clear,Low
R18,8,Weekday,1,Clear,High
R2,2,Weekday,1,Clear,Low
R10,4,Weekend,0,Rain,Medium
R15,15,Weekend,0,Clear,Low
R1,23,Weekend,0,Rain,Low
R10,19,Weekday,1,Clear,Low
R18,3,Weekend,0,Clear,Low
R12,10,Weekday,1,Clear,Medium
R3,10,Weekday,0,Clear,Medium
R8,17,Weekday,0,Clear,High
R13,0,Weekday,1,Rain,Low
R7,9,Weekend,0,Clear,Medium
R2,13,Weekday,1,Clear,Low
R5,0,Weekend,0,Clear,Low
R5,1,Weekend,1,Clear,Low
R13,12,Weekday,0,Clear,Medium
R1,19,Weekday,0,Clear,High
R17,9,Weekday,1,Clear,High
R16,10,Weekday,0,Clear,Medium
R15,14,Weekday,1,Clear,Low
R17,1,Weekday,0,Clear,Low
R19,23,Weekday,1,Rain,Low
R4,22,Weekday,0,Rain,Low
R13,0,Weekday,1,Clear,Low
R1,13,Weekend,0,Rain,Low
R18,20,Weekday,0,Clear,High
R15,23,Weekday,1,Rain,Medium
R12,10,Weekday,1,Rain,Medium
R20,22,Weekend,1,Rain,Low
R10,19,Weekend,0,Rain,High
R1,19,Weekend,1,Clear,Low
R10,2,Weekend,1,Rain,Low
R20,15,Weekday,1,Clear,Low
R20,3,Weekday,0,Rain,Medium
R12,11,Weekday,1,Rain,Medium
R9,1,Weekday,1,Clear,Low
R6,0,Weekday,0,Clear,Low
R6,16,Weekend,0,Clear,Low
R20,16,Weekend,0,Clear,Low
R19,12,Weekend,1,Rain,Low
R13,16,Weekend,1,Rain,Low
R1,0,Weekend,1,Rain,Low
R14,20,Weekend,0,Clear,High
R4,6,Weekday,0,Clear,Low
R15,8,Weekend,1,Clear,Medium
R15,12,Weekday,1,Rain,Low
R3,7,Weekend,0,Clear,Low
R4,22,Weekday,0,Clear,Low
R15,0,Weekday,0,Rain,Medium
R6,23,Weekend,0,Clear,Low
R9,23,Weekend,1,Clear,Low
R9,11,Weekday,0,Clear,Low
R20,9,Weekday,1,Clear,Medium
R3,17,Weekday,1,Rain,High
R13,5,Weekend,1,Rain,Low
R10,18,Weekday,0,Clear,Medium
R4,13,Weekday,0,Rain,Low
R2,8,Weekend,1,Rain,Medium
R3,18,Weekend,1,Rain,Medium
R19,19,Weekday,0,Rain,High
R6,19,Weekend,1,Clear,Low
R20,13,Weekend,1,Clear,Low
R19,7,Weekday,0,Rain,Low
R10,0,Weekday,0,Clear,Low
R14,14,Weekday,0,Clear,Low
R8,20,Weekday,1,Rain,High
R17,7,Weekend,1,Clear,Low
R13,13,Weekend,1,Rain,Low
R5,2,Weekday,0,Rain,Medium
R2,6,Weekend,1,Rain,Low
R3,4,Weekday,1,Clear,Low
R3,5,Weekday,0,Rain,Medium
R5,23,Weekend,1,Clear,Low
R20,11,Weekday,0,Clear,Low
R8,22,Weekend,1,Rain,Low
R20,0,Weekday,0,Rain,Low
R10,15,Weekday,0,Clear,Low
R13,2,Weekday,0,Clear,Low
R12,6,Weekday,0,Clear,Low
R9,10,Weekend,1,Rain,Medium
R7,11,Weekday,0,Clear,Low
R17,4,Weekend,0,Clear,Low
R19,2,Weekend,0,Rain,Low
R3,10,Weekend,0,Clear,Medium
R6,14,Weekday,0,Clear,Low
R5,18,Weekday,0,Rain,High
R13,7,Weekend,0,Clear,Low
R9,21,Weekday,0,Clear,Low
R15,8,Weekday,0,Clear,High
R9,7,Weekday,0,Rain,Medium
R7,12,Weekday,0,Rain,Medium
R3,20,Weekend,0,Clear,Medium
R13,11,Weekend,1,Rain,Low
R11,4,Weekday,0,Clear,Low
R6,20,Weekend,1,Rain,Medium
R7,11,Weekend,1,Rain,Low
R5,7,Weekday,0,Clear,Low
R3,17,Weekday,0,Rain,High
R6,14,Weekday,0,Rain,Medium
R6,1,Weekend,0,Rain,Low
R2,6,Weekend,1,Rain,Low
R16,18,Weekend,0,Clear,Medium
R18,13,Weekend,1,Rain,Low
R4,1,Weekend,0,Clear,Low
R3,11,Weekday,1,Clear,Low
R19,0,Weekday,0,Rain,Medium
R20,15,Weekday,1,Rain,Low
R18,0,Weekend,0,Clear,Low
R4,10,Weekday,1,Clear,Medium
R9,7,Weekend,0,Rain,Low
R7,9,Weekday,0,Clear,High
R3,1,Weekday,0,Clear,Low
R1,6,Weekday,0,Clear,Medium
R17,6,Weekday,0,Clear,Low
R14,9,Weekend,0,Rain,Medium
R1,11,Weekday,0,Clear,Low
R10,9,Weekday,1,Rain,High
R5,4,Weekend,0,Clear,Low
R12,3,Weekend,1,Clear,Low
R20,0,Weekday,1,Rain,Low
R7,4,Weekend,1,Clear,Low
R3,9,Weekday,0,Clear,High
R18,6,Weekend,1,Clear,Low
R6,5,Weekday,0,Rain,Medium
R12,3,Weekday,0,Rain,Medium
R3,23,Weekday,0,Clear,Low
R2,2,Weekday,0,Rain,Medium
R3,9,Weekday,1,Clear,Medium
R2,6,Weekend,1,Rain,Low
R5,3,Weekday,1,Rain,Medium
R11,13,Weekend,0,Rain,Medium
R7,5,Weekday,1,Rain,Medium
R20,12,Weekday,1,Rain,Medium
R1,5,Weekend,0,Clear,Low
R10,9,Weekend,1,Rain,Medium
R16,19,Weekend,1,Rain,Medium
R13,0,Weekday,1,Rain,Low
R18,0,Weekend,0,Rain,Low
R16,4,Weekend,0,Clear,Low
R8,17,Weekday,1,Rain,Medium
R20,22,Weekend,0,Rain,Low
R8,7,Weekday,1,Rain,Medium
R8,14,Weekday,1,Clear,Low
R18,14,Weekend,0,Clear,Low
R6,4,Weekend,1,Rain,Low
R3,10,Weekend,0,Clear,High
R9,6,Weekday,1,Rain,Low
R9,13,Weekday,0,Rain,Low
R8,6,Weekend,1,Clear,Low
R2,3,Weekend,0,Rain,Low
R6,13,Weekend,1,Rain,Low
R16,15,Weekend,0,Rain,Low
R19,18,Weekday,1,Clear,High
R15,6,Weekend,0,Clear,Low
R15,18,Weekend,0,Rain,High
R4,17,Weekend,0,Clear,Medium
R11,2,Weekday,1,Clear,Low
R7,14,Weekend,1,Rain,Low
R11,16,Weekend,1,Clear,Low
R5,10,Weekday,0,Rain,High
R9,21,Weekend,0,Rain,Medium
R2,0,Weekend,0,Rain,Low
R17,16,Weekend,0,Rain,Medium
R13,19,Weekend,0,Clear,Low
R7,11,Weekend,0,Rain,Low
R12,2,Weekday,0,Rain,Medium
R6,1,Weekend,1,Clear,Low
R13,14,Weekend,1,Clear,Low
R6,15,Weekend,1,Clear,Low
R5,10,Weekday,1,Clear,Low
R1,7,Weekday,1,Clear,Low
R8,13,Weekday,1,Clear,Low
R5,9,Weekday,1,Rain,High
R17,6,Weekend,1,Rain,Low
R3,20,Weekday,1,Rain,High
R6,5,Weekend,0,Rain,Low
R10,4,Weekday,0,Rain,Medium
R15,15,Weekday,1,Clear,Low
R14,14,Weekend,1,Rain,Low
R1,9,Weekday,0,Clear,High
R17,12,Weekend,1,Clear,Low
R18,16,Weekend,0,Rain,Medium
R18,23,Weekday,0,Rain,Low
R8,14,Weekday,0,Clear,Low
R16,2,Weekday,1,Clear,Low
R19,5,Weekend,0,Rain,Low
R6,7,Weekday,0,Rain,Medium
R17,22,Weekend,1,Clear,Low
R15,0,Weekday,1,Rain,Low
R5,15,Weekend,1,Rain,Low
R6,0,Weekend,1,Clear,Low
R13,4,Weekend,1,Clear,Low
R5,0,Weekday,1,Rain,Low
R12,4,Weekday,1,Clear,Low
R11,19,Weekend,1,Clear,Low
R3,5,Weekend,0,Rain,Medium
R16,23,Weekend,1,Clear,Low
R13,8,Weekend,0,Rain,High
R9,5,Weekend,1,Rain,Low
R15,12,Weekend,0,Clear,Low
R1,19,Weekend,1,Rain,Low
R1,13,Weekend,0,Clear,Low
R5,16,Weekend,1,Clear,Low
R3,17,Weekday,0,Rain,High
R5,22,Weekday,1,Clear,Low
R12,23,Weekend,1,Clear,Low
R20,3,Weekend,0,Rain,Low
R7,22,Weekend,0,Clear,Low
R14,2,Weekend,0,Clear,Low
R7,15,Weekday,1,Clear,Low
R7,19,Weekend,0,Clear,Low
R18,17,Weekday,1,Clear,High
R3,11,Weekday,1,Rain,Medium
R20,22,Weekend,0,Rain,Low
R20,2,Weekday,1,Clear,Low
R8,16,Weekday,1,Clear,Low
R5,9,Weekend,0,Rain,High
R20,6,Weekday,0,Clear,Low
R20,10,Weekday,1,Rain,High
R7,15,Weekday,1,Clear,Low
R4,20,Weekend,0,Clear,High
R11,23,Weekday,1,Clear,Low
R14,1,Weekday,1,Clear,Low
R12,0,Weekend,1,Rain,Low
R1,23,Weekend,0,Clear,Low
R18,5,Weekend,1,Rain,Low
R4,20,Weekend,0,Clear,Medium
R15,1,Weekday,1,Rain,Medium
R5,20,Weekend,0,Clear,High
R14,17,Weekday,1,Rain,High
R15,18,Weekday,0,Rain,High
R7,14,Weekend,1,Clear,Low
R19,23,Weekday,0,Rain,Medium
R5,14,Weekend,0,Clear,Low
R8,2,Weekday,1,Clear,Low
R9,23,Weekday,0,Rain,Low
R11,10,Weekend,1,Rain,Medium
R19,13,Weekend,1,Rain,Low
R3,12,Weekend,0,Clear,Low
R14,20,Weekend,1,Clear,Medium
R15,17,Weekday,1,Rain,Medium
R11,6,Weekday,0,Rain,High
R15,4,Weekend,1,Rain,Low
R6,19,Weekend,0,Clear,Medium
R13,13,Weekday,0,Clear,Low
R10,0,Weekend,1,Clear,Low
R16,12,Weekday,0,Rain,Medium
R11,17,Weekday,1,Rain,High
R7,16,Weekday,0,Rain,Medium
R11,16,Weekday,1,Clear,Low
R13,15,Weekday,0,Clear,Medium
R5,17,Weekend,0,Rain,High
R2,3,Weekend,1,Rain,Low
R17,9,Weekday,0,Clear,Medium
R15,14,Weekend,0,Rain,Low
R7,2,Weekend,0,Rain,Low
R4,8,Weekday,0,Clear,High
R13,5,Weekday,0,Clear,Low
R5,19,Weekday,1,Clear,Medium
R2,8,Weekend,0,Rain,High
R20,12,Weekday,1,Clear,Low
R13,18,Weekend,1,Clear,Low
R18,21,Weekday,1,Clear,Low
R20,13,Weekday,0,Rain,Low
R16,7,Weekend,1,Clear,Low
R2,17,Weekday,1,Clear,High
R20,16,Weekday,0,Clear,Low
R3,22,Weekday,1,Rain,Medium
R19,12,Weekday,1,Clear,Low
R2,1,Weekend,1,Rain,Low
R8,19,Weekday,0,Rain,High
R7,8,Weekend,1,Clear,Low
R13,18,Weekday,0,Rain,High
R5,9,Weekend,1,Rain,Medium
R3,19,Weekend,1,Clear,Low
R11,20,Weekday,0,Rain,High
R12,14,Weekend,1,Rain,Low
R9,2,Weekday,0,Rain,High
R11,14,Weekday,1,Rain,Medium
R2,10,Weekday,1,Rain,High
R18,3,Weekend,0,Rain,Low
R20,5,Weekend,0,Clear,Low
R12,12,Weekend,0,Clear,Low
R19,15,Weekend,1,Clear,Low
R14,10,Weekend,1,Clear,Medium
R4,22,Weekend,1,Clear,Low
R12,16,Weekend,0,Clear,Low
R3,5,Weekend,1,Clear,Low
R16,9,Weekday,0,Clear,High
R12,8,Weekday,1,Rain,High
R3,10,Weekday,1,Clear,Medium
R15,16,Weekend,0,Rain,Medium
R15,18,Weekday,0,Rain,High
R12,5,Weekend,1,Clear,Low
R10,17,Weekday,1,Rain,High
R3,1,Weekend,1,Rain,Low
R15,5,Weekend,1,Rain,Low
R14,0,Weekend,0,Clear,Low
R6,1,Weekday,1,Rain,Medium
R3,16,Weekday,0,Clear,Medium
R13,0,Weekend,0,Rain,Low
R17,23,Weekend,0,Rain,Low
R8,13,Weekday,0,Clear,Medium
R2,17,Weekend,0,Rain,Medium
R5,4,Weekday,0,Rain,Medium
R17,10,Weekday,0,Clear,High
R14,13,Weekday,1,Rain,Low
R7,7,Weekend,1,Rain,Low
R20,22,Weekend,1,Rain,Low
R15,13,Weekday,0,Clear,Low
R3,0,Weekday,0,Clear,Low
R7,17,Weekend,1,Clear,Low
R5,16,Weekday,1,Rain,Low
R6,12,Weekend,0,Clear,Low
R10,5,Weekday,0,Clear,Low
R19,7,Weekday,0,Clear,Low
R10,0,Weekday,1,Clear,Low
R14,8,Weekday,1,Rain,High
R10,12,Weekday,1,Rain,Low
R4,16,Weekday,1,Rain,Low
R12,15,Weekday,0,Clear,Low
R15,8,Weekday,1,Rain,High
R12,3,Weekend,0,Clear,Low
R17,0,Weekend,0,Clear,Low
R8,13,Weekend,1,Rain,Low
R20,22,Weekday,1,Rain,Low
R1,11,Weekend,1,Rain,Low
R19,21,Weekday,1,Clear,Low
R4,7,Weekend,1,Rain,Low
R15,22,Weekday,0,Rain,Medium
R19,16,Weekday,1,Rain,Low
R10,4,Weekday,0,Clear,Medium
R8,23,Weekend,1,Clear,Low
R5,5,Weekend,1,Clear,Low
R18,14,Weekday,0,Clear,Low
R10,3,Weekend,1,Clear,Low
R16,14,Weekday,0,Clear,Low
R3,20,Weekday,0,Clear,High
R19,23,Weekend,0,Clear,Low
R12,18,Weekend,0,Rain,High
R9,0,Weekend,1,Clear,Low
R20,11,Weekend,1,Clear,Low
R9,4,Weekday,1,Clear,Low
R16,0,Weekday,0,Clear,Medium
R17,5,Weekend,0,Clear,Low
R2,8,Weekday,0,Rain,High
R14,15,Weekend,1,Clear,Low
R9,11,Weekday,1,Rain,Medium
R6,13,Weekday,0,Clear,Low
R4,16,Weekend,0,Clear,Low
R10,23,Weekend,1,Clear,Low
R10,22,Weekday,0,Clear,Medium
R9,12,Weekend,0,Clear,Low
R11,3,Weekday,1,Rain,Low
R5,4,Weekday,1,Clear,Low
R15,8,Weekday,1,Clear,Medium
R17,5,Weekday,1,Rain,Low
R6,9,Weekday,0,Rain,High
R17,6,Weekend,1,Clear,Low
R2,20,Weekend,1,Rain,Medium
R7,21,Weekday,1,Rain,Low
R5,8,Weekday,1,Clear,High
R6,18,Weekend,1,Rain,Medium
R14,10,Weekend,0,Clear,Low
R4,9,Weekday,0,Clear,High
R9,2,Weekend,1,Clear,Low
R1,6,Weekend,0,Rain,Medium
R16,4,Weekday,1,Clear,Low
R12,22,Weekday,1,Rain,Low
R16,15,Weekday,1,Rain,Low
R6,3,Weekday,0,Clear,Low
R6,9,Weekday,1,Rain,High
R12,11,Weekday,1,Rain,Low
R17,21,Weekday,0,Rain,High
R17,19,Weekend,1,Clear,Low
R1,18,Weekend,0,Clear,Medium
R1,13,Weekday,1,Rain,Low
R17,12,Weekend,1,Rain,Low
R14,16,Weekend,0,Rain,Medium
R16,0,Weekday,0,Rain,Medium
R11,11,Weekend,0,Clear,Low
R18,21,Weekday,0,Clear,Medium
R13,19,Weekend,0,Clear,High
R12,16,Weekday,0,Rain,High
